Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{7A54CA37-B3B4-4788-B5FE-09BF51794F1D},325000,2007-09-07 00:00,D,Y,F,NOTTINGHAM,CITY OF NOTTINGHAM,CITY OF NOTTINGHAM,A,A
{F3E126E8-AA9A-475F-B0DE-8C0EE15BB170},364995,2015-03-13 00:00,D,Y,F,CHESTER,CHESHIRE WEST AND CHESTER,CHESHIRE WEST AND CHESTER,A,A
{3CA3B370-07FA-4E78-8EB3-FE96FA83FD6D},75000,1996-12-06 00:00,S,N,F,CANNOCK,CANNOCK CHASE,STAFFORDSHIRE,A,A
{A434BB32-8C80-49F9-834A-2F246A0FB466},115000,2003-02-27 00:00,S,N,F,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,A,A
{E46A0508-E1DB-41BC-BA22-B3FF548711A1},60000,1997-09-10 00:00,S,N,F,WOLVERHAMPTON,WOLVERHAMPTON,WEST MIDLANDS,A,A
{0AD5D52B-16C1-4B97-8336-726504183D43},226500,2005-09-09 00:00,S,N,F,WOKING,GUILDFORD,SURREY,A,A
{54C08FB0-1071-4A13-9D6E-2DCFC452DB2B},105995,2007-04-04 00:00,F,Y,L,DERBY,CITY OF DERBY,CITY OF DERBY,A,A
{6BC9F937-103B-4CA6-BE6C-6C48FFB72DC9},127000,2011-11-25 00:00,T,N,F,DURHAM,COUNTY DURHAM,COUNTY DURHAM,A,A
{FB5082BF-9BDC-4134-8A8D-6A4BC635CBD9},895000,2013-08-07 00:00,F,N,L,LONDON,WANDSWORTH,GREATER LONDON,A,A
{8935DA64-1A53-4FE3-B277-CDF41728AC50},190000,2007-07-13 00:00,T,N,F,HULL,CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,A,A
{6707464C-F2C8-4BF0-B61E-3642E0F7685E},295000,2005-03-23 00:00,S,N,F,ST. ALBANS,ST ALBANS,HERTFORDSHIRE,A,A
{9B2DA386-0BBE-421F-A023-A529DBB89271},155000,2006-06-09 00:00,T,N,F,CHEADLE,STOCKPORT,GREATER MANCHESTER,A,A
{6A48C54F-83B4-43A4-83B0-A3AB0A6493B7},43000,1995-04-21 00:00,S,N,F,ABERDARE,CYNON VALLEY,MID GLAMORGAN,A,A
{7E76B581-DBC7-42F2-87D8-BDB7C5057AE5},72500,2001-01-24 00:00,F,N,L,SOUTH CROYDON,CROYDON,GREATER LONDON,A,A
{1791EFC2-0C05-4D49-BC78-75684941024F},94950,1998-12-10 00:00,D,Y,F,WORCESTER,WYCHAVON,WORCESTERSHIRE,A,A
{436DEEFA-F808-4042-9BE9-46F9D8F89D56},170000,1997-09-08 00:00,D,N,F,POOLE,POOLE,POOLE,A,A
{46F90AA9-7834-4DEC-A8FF-C71F435FCE8F},370000,2006-12-21 00:00,T,N,F,LONDON,HACKNEY,GREATER LONDON,A,A
{DD3C2D6D-4C1F-47F8-B7A4-A105D8666152},242500,1998-12-07 00:00,D,N,F,RINGWOOD,NEW FOREST,HAMPSHIRE,A,A
{7EE1082C-76DF-4BF8-AC3B-A4D166D5290A},120000,2005-09-02 00:00,F,N,L,CROYDON,CROYDON,GREATER LONDON,A,A
{B9F55825-1CBD-4339-9F27-762C08750986},83999,1997-08-11 00:00,F,N,L,LONDON,LAMBETH,GREATER LONDON,A,A
{7D02C6CE-6DDD-4F05-A9B3-E6C248CC8F9C},114000,2004-10-28 00:00,T,N,F,DEREHAM,BRECKLAND,NORFOLK,A,A
{DF9B34EA-7C8E-4541-82E7-3AECD691F543},86000,2012-07-31 00:00,T,N,F,PRESTON,PRESTON,LANCASHIRE,A,A
{2A289E9E-FBD3-CDC8-E050-A8C063054829},196000,2004-07-22 00:00,S,N,F,WITNEY,WEST OXFORDSHIRE,OXFORDSHIRE,A,A
{61C2B214-44D3-4B8E-AF36-2FE3F816C58D},42500,1997-11-14 00:00,T,N,F,BEDWORTH,NUNEATON AND BEDWORTH,WARWICKSHIRE,A,A
{9CD4A6B1-6FE4-42FA-99FE-C2FB4D94C6CA},56995,1998-04-23 00:00,T,N,F,SITTINGBOURNE,SWALE,KENT,A,A
{453D27A3-4634-EF91-E050-A8C0630574D7},293000,2016-11-25 00:00,S,N,L,SOUTHPORT,SEFTON,MERSEYSIDE,A,A
{369DFB15-7A91-3A19-E050-A8C0620518C6},105000,2016-06-06 00:00,T,N,F,ULVERSTON,SOUTH LAKELAND,CUMBRIA,A,A
{1C5E88D2-7C58-4F7F-B16F-5D7AC78569F5},87000,2012-08-31 00:00,S,N,F,HALIFAX,CALDERDALE,WEST YORKSHIRE,A,A
{3E34F449-1226-4311-AD19-DD9F79327CD3},49000,1998-09-28 00:00,T,N,F,CHESTER LE STREET,GATESHEAD,TYNE AND WEAR,A,A
{C277B21E-D038-483B-AB7F-A73BAE8DC52D},285000,2010-10-14 00:00,D,N,F,PETERBOROUGH,CITY OF PETERBOROUGH,CITY OF PETERBOROUGH,A,A
{D203080F-1F4A-4155-8648-7A1EEBB52D65},250000,2011-12-07 00:00,F,N,L,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{0DC59A26-5622-4F18-946C-20AB7589C7C5},895000,2013-11-26 00:00,T,N,F,LONDON,SOUTHWARK,GREATER LONDON,A,A
{A265E14B-8354-446C-84C4-3BB5E925AC7B},250000,2003-01-31 00:00,S,N,F,HENLEY-ON-THAMES,SOUTH OXFORDSHIRE,OXFORDSHIRE,A,A
{73BE5D11-D02D-4108-8A39-C0D129E266B1},118000,2011-03-18 00:00,T,N,L,HUDDERSFIELD,KIRKLEES,WEST YORKSHIRE,A,A
{FC94935D-9DE3-4532-94CF-4E117F822F65},210000,2014-09-30 00:00,T,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{12377973-3AAA-43DD-893E-798BA05F3D9A},58000,1998-01-23 00:00,S,N,F,BEDWORTH,NUNEATON AND BEDWORTH,WARWICKSHIRE,A,A
{5D277D74-EC58-4F7E-8A1C-6982A599C06B},223000,2001-02-21 00:00,D,N,F,HEMEL HEMPSTEAD,DACORUM,HERTFORDSHIRE,A,A
{5D9F35EC-EA1F-4A51-9E89-FC4E7A7FFF11},148000,2012-07-30 00:00,D,N,F,BURY,BURY,GREATER MANCHESTER,A,A
{562C5B0A-5902-4D24-85C3-CAC786034904},126500,1997-10-06 00:00,D,N,F,KIDDERMINSTER,WYRE FOREST,WORCESTERSHIRE,A,A
{4BF22125-FBE9-40E2-BF0D-AF34F577D2CE},28500,2002-05-31 00:00,T,N,F,BEDLINGTON,WANSBECK,NORTHUMBERLAND,A,A
{A3C3B6FF-46E5-4AE1-AC14-D4528E03793F},42000,1997-10-23 00:00,S,N,F,WESTON-SUPER-MARE,NORTH SOMERSET,NORTH SOMERSET,A,A
{B83CBAC2-98CC-4D92-ACF2-78195423C64F},68500,2001-08-01 00:00,F,N,L,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{A95B360D-27DD-421E-9C6A-AC73E3B4604E},74850,2015-02-04 00:00,T,N,F,KINGSBRIDGE,SOUTH HAMS,DEVON,A,A
{B1F170E2-27AB-417E-AA41-240A361A8E41},44000,1996-09-10 00:00,S,N,F,ULVERSTON,SOUTH LAKELAND,CUMBRIA,A,A
{3DAD6BD6-A48A-4038-8761-88EF5315C61F},142000,2005-08-19 00:00,T,N,F,ROSS-ON-WYE,HEREFORDSHIRE,HEREFORDSHIRE,A,A
{D829E4F2-BED7-456F-A3BD-C310D037B727},59950,2001-06-14 00:00,S,N,F,BRADFORD,BRADFORD,WEST YORKSHIRE,A,A
{12F275E2-0109-49AF-B67C-8599C942653B},325000,2009-10-26 00:00,F,N,L,TADWORTH,REIGATE AND BANSTEAD,SURREY,A,A
{CFA10B95-4AC4-4840-BEA0-EB8081397E53},192000,2007-09-03 00:00,S,N,F,SOUTHAMPTON,SOUTHAMPTON,SOUTHAMPTON,A,A
{7097348D-215B-47B9-BAE1-ED8F9E024BC2},430000,2013-02-19 00:00,S,N,F,IVER,SOUTH BUCKS,BUCKINGHAMSHIRE,A,A
{7B6F7ABD-D41C-40DD-8E4D-9B6B130D5C4C},105000,1999-08-03 00:00,D,N,F,OLNEY,MILTON KEYNES,MILTON KEYNES,A,A
{D797E044-7210-4E95-9674-C1DC87011764},133000,1997-05-23 00:00,D,N,F,STOURBRIDGE,DUDLEY,WEST MIDLANDS,A,A
{3E012FCC-6D21-41C6-8AB0-4DBD188A75E7},36500,1997-02-14 00:00,T,N,F,PENZANCE,PENWITH,CORNWALL,A,A
{C3293F50-9ED7-4A38-B63C-E278681A6647},143000,2008-03-14 00:00,T,N,L,MANCHESTER,TAMESIDE,GREATER MANCHESTER,A,A
{798E7385-FC7C-4FDD-8939-43C5C3354158},185000,2010-10-29 00:00,F,Y,L,MANCHESTER,MANCHESTER,GREATER MANCHESTER,A,A
{6F3394B3-197E-4D84-ADD3-3689B48BF6E7},174950,2007-08-02 00:00,F,N,L,BRIGHTON,BRIGHTON AND HOVE,BRIGHTON AND HOVE,A,A
{34428D7D-F080-B86C-E050-A8C06205059C},368000,2016-04-27 00:00,T,N,F,ILFORD,REDBRIDGE,GREATER LONDON,A,A
{C8A1A680-DA40-4046-A4C2-B693DAE261D0},112125,1997-09-18 00:00,F,N,L,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON,A,A
{E3055A68-01C9-43AD-8411-02A62A7111F2},190000,2006-05-24 00:00,T,N,F,READING,WOKINGHAM,WOKINGHAM,A,A
{D9888847-B070-4B44-AEFD-3BE8EF54F28A},229950,2003-03-25 00:00,S,N,F,WINCHESTER,WINCHESTER,HAMPSHIRE,A,A
{2A289E9F-FB48-CDC8-E050-A8C063054829},47000,2003-09-05 00:00,S,N,F,BRADFORD,BRADFORD,WEST YORKSHIRE,A,A
{4FA9F822-6508-42D5-9D9E-F2B95DF21377},133000,1999-11-26 00:00,S,N,L,STOCKPORT,STOCKPORT,GREATER MANCHESTER,A,A
{79901E24-2654-459B-9123-B8CDE65C92AC},180950,2002-07-30 00:00,D,N,F,YORK,YORK,YORK,A,A
{F7F7952C-508B-4061-A991-AE283A0FE57C},69995,2001-11-30 00:00,T,N,F,LEEDS,LEEDS,WEST YORKSHIRE,A,A
{B269B9F8-58FB-47E1-B38B-2773B8AC1BC2},66950,2001-07-06 00:00,S,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{E94AD94B-2B9B-42AF-ADC1-1DF431126581},48500,1995-12-08 00:00,S,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{7686554B-0CA3-42A4-B430-E452C98EDE07},75500,2001-03-06 00:00,T,N,F,BELVEDERE,BEXLEY,GREATER LONDON,A,A
{189E057D-A3FB-481D-A637-2FF59147B783},140000,2005-07-15 00:00,D,N,F,SLEAFORD,NORTH KESTEVEN,LINCOLNSHIRE,A,A
{357E68C2-74D5-4240-A806-D64A0BB9BFE7},138995,2006-09-15 00:00,S,Y,F,ST. HELENS,ST HELENS,MERSEYSIDE,A,A
{47844C7F-8E06-8986-E050-A8C063056488},127500,2016-11-01 00:00,T,Y,F,NEWPORT,NEWPORT,NEWPORT,A,A
{B7D61AF1-35EE-4E9A-B962-3C43A353C270},82000,1999-02-17 00:00,F,N,L,BEDFORD,BEDFORD,BEDFORDSHIRE,A,A
{ADAFEAAC-57E3-4D74-9B1D-756E97463059},54500,2003-08-01 00:00,T,N,F,BRADFORD,BRADFORD,WEST YORKSHIRE,A,A
{EB37849A-E88A-47DE-9BCD-E7B15FC84BBE},540000,2010-02-12 00:00,D,N,F,ALDERLEY EDGE,CHESHIRE EAST,CHESHIRE EAST,A,A
{B481F173-C160-4248-B092-3CADD7B8D59C},51750,1998-06-30 00:00,T,N,F,TAVISTOCK,WEST DEVON,DEVON,A,A
{39140479-914B-3206-E050-A8C063057647},350000,2016-06-27 00:00,D,N,F,COLCHESTER,COLCHESTER,ESSEX,A,A
{2A289E9E-6C7C-CDC8-E050-A8C063054829},260000,2004-04-23 00:00,D,N,F,WARRINGTON,WARRINGTON,WARRINGTON,A,A
{8DC8AE1E-980B-4B97-9A35-509E89292BA7},184995,2004-06-24 00:00,F,Y,L,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A
{B785631C-BB40-43CF-A0BC-E7663702B8AA},90000,1995-11-20 00:00,S,N,F,ASHFORD,SPELTHORNE,SURREY,A,A
{74AB758C-E9FF-438E-828C-DA4B79F237FD},66000,1999-01-29 00:00,S,N,F,WIRRAL,WIRRAL,MERSEYSIDE,A,A
{979FB5AD-A804-4855-860E-FC9F051E129B},228500,2014-02-28 00:00,T,N,F,PRINCES RISBOROUGH,WYCOMBE,BUCKINGHAMSHIRE,A,A
{BE535C7E-37AD-4DB0-B377-7F43F7BF9CA7},60000,1997-12-18 00:00,T,N,F,KEIGHLEY,BRADFORD,WEST YORKSHIRE,A,A
{D0C9E54E-5E5D-427C-B617-18400FB50D71},50000,2013-08-01 00:00,T,N,F,GRIMSBY,NORTH EAST LINCOLNSHIRE,NORTH EAST LINCOLNSHIRE,A,A
{CCE7BF9B-6196-40F3-85B9-21324971819C},144000,2005-08-12 00:00,F,Y,L,ASHFORD,ASHFORD,KENT,A,A
{58921995-4DEB-4E6F-B2F3-B0D8143C78E5},99950,2014-06-30 00:00,T,N,F,PETERBOROUGH,CITY OF PETERBOROUGH,CITY OF PETERBOROUGH,A,A
{149B819E-79E9-4265-9770-CA2026F36A02},49000,1999-07-30 00:00,S,N,F,CAERPHILLY,CAERPHILLY,CAERPHILLY,A,A
{EEAADA4F-485D-4B48-9661-07112DB88945},225000,2011-02-22 00:00,S,N,F,WATERLOOVILLE,HAVANT,HAMPSHIRE,A,A
{8EE75869-1572-4532-BEEE-AE38320432DB},57500,1998-11-10 00:00,S,N,L,TRIMDON STATION,SEDGEFIELD,DURHAM,A,A
{404A5AF3-F7D9-CD2B-E050-A8C063055C7B},265000,2016-10-21 00:00,D,N,F,TELFORD,WREKIN,WREKIN,A,A
{1F888748-40CB-4DF7-9A11-19788933667B},182000,2014-05-19 00:00,T,N,F,PLYMOUTH,CITY OF PLYMOUTH,CITY OF PLYMOUTH,A,A
{D15EC9C4-9AC8-4660-BB9A-0B33BEA54518},90000,1996-08-23 00:00,D,Y,F,LIVERPOOL,LIVERPOOL,MERSEYSIDE,A,A
{9CF7DA30-CD24-44DE-97F1-7683D54DECE6},39950,2002-06-14 00:00,S,N,F,SPENNYMOOR,SEDGEFIELD,DURHAM,A,A
{9D96A1F2-CD64-4C2B-A503-499607F9A077},209950,2010-11-30 00:00,T,Y,F,NORWICH,SOUTH NORFOLK,NORFOLK,A,A
{4C4EDFFF-EE5D-1854-E050-A8C063054F34},105000,2017-02-20 00:00,S,N,F,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,A,A
{57959458-5913-405E-A53E-91CD0AE9298A},115000,2003-12-10 00:00,F,N,L,LONDON,NEWHAM,GREATER LONDON,A,A
{F18D33B4-DEAA-4858-B23D-715291504DF6},60000,2000-06-30 00:00,D,N,F,LINCOLN,NORTH KESTEVEN,LINCOLNSHIRE,A,A
{2FD36066-4908-4BF8-E050-A8C0620562B1},115000,2016-02-29 00:00,D,N,F,PONTEFRACT,WAKEFIELD,WEST YORKSHIRE,A,A
{08A895A1-A6B5-4DED-98B7-BE48E7001D20},84787,2012-06-01 00:00,T,N,F,HULL,CITY OF KINGSTON UPON HULL,CITY OF KINGSTON UPON HULL,A,A
{1C9001D4-8C87-43C0-A3E6-4ED2B08078A8},2275000,2014-06-10 00:00,F,N,L,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{9C0436B7-94AD-4826-860D-A853090968F1},215000,2010-03-17 00:00,D,N,F,RUNCORN,HALTON,HALTON,A,A
{0F812354-F29B-4663-BC02-331858F4C99A},375000,2007-12-11 00:00,D,N,F,MALMESBURY,NORTH WILTSHIRE,WILTSHIRE,A,A
{70021732-E12A-4AAC-A1C0-671EE3784660},163524,2008-06-30 00:00,T,Y,F,MILTON KEYNES,MILTON KEYNES,MILTON KEYNES,A,A
{ED8FF732-96A8-454E-9905-1F53711B2C50},210000,2005-06-30 00:00,S,Y,F,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
{50F18103-12B2-9FD5-E050-A8C063054923},230000,2017-04-12 00:00,T,N,F,LEOMINSTER,HEREFORDSHIRE,HEREFORDSHIRE,A,A
{4767C7E8-AE8F-4FBF-BAB0-8FCA13B23EF2},262500,2000-05-02 00:00,D,N,F,DUNMOW,UTTLESFORD,ESSEX,A,A
{4BD8B20F-D5DE-4194-B19B-587EF1AA2AAD},334000,2002-05-17 00:00,D,N,F,ORPINGTON,BROMLEY,GREATER LONDON,A,A
{4BBC7447-5C39-4A07-8A44-46C0D4FF03FB},114500,2002-01-11 00:00,S,N,F,LEIGH-ON-SEA,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,A,A
{E8171420-92EA-4F53-B986-3773EC2F2217},136950,2000-04-20 00:00,D,Y,F,WARRINGTON,WARRINGTON,WARRINGTON,A,A
{34AFB2BF-A4EC-4744-B7A6-EF8944262CB2},169950,2005-12-12 00:00,T,Y,L,BURNLEY,BURNLEY,LANCASHIRE,A,A
{38BA4A7F-EAD9-4C26-A024-CFB24054C971},220000,2000-03-30 00:00,S,N,F,STOCKPORT,MACCLESFIELD,CHESHIRE,A,A
{7E5C88C6-D76A-409D-B1FB-7C120AB2250D},39500,2002-06-19 00:00,T,N,F,BOSTON,BOSTON,LINCOLNSHIRE,A,A
{AFB27FBF-4CE1-4CF3-956A-FD7ABADB84FA},43000,2002-09-06 00:00,T,N,F,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,A,A
{20EEDAD0-4A93-46FE-95D9-BB0B1DC47DF9},29000,1996-07-02 00:00,T,N,F,BRADFORD,BRADFORD,WEST YORKSHIRE,A,A
{A1B4EECA-E488-4CD3-8503-2220A1420E41},125500,2001-11-30 00:00,F,N,L,LONDON,HACKNEY,GREATER LONDON,A,A
{11E83659-A2C1-4E8C-8B95-A959D22AF6B3},119500,2001-04-27 00:00,T,N,F,ENFIELD,ENFIELD,GREATER LONDON,A,A
{9AC87C6D-E1EB-43BA-8CFF-3B5AC12E9094},83000,2000-11-03 00:00,F,N,L,NORTHOLT,EALING,GREATER LONDON,A,A
{13333590-C0D0-496F-863B-AA49B37D552F},38000,1996-12-20 00:00,S,N,L,NEWCASTLE UPON TYNE,NEWCASTLE UPON TYNE,TYNE AND WEAR,A,A
{5376B385-C42B-34C1-E053-6B04A8C09FF6},145000,2017-05-11 00:00,T,N,F,CORBY,CORBY,NORTHAMPTONSHIRE,A,A
{D3D2A62D-E3DE-45C5-8E36-85F83AAC6C41},86500,2001-10-16 00:00,T,N,L,HIGH PEAK,HIGH PEAK,DERBYSHIRE,A,A
{16C4175B-3059-4772-AF05-8CC2E8880289},285000,2009-06-17 00:00,D,N,F,TIVERTON,MID DEVON,DEVON,A,A
{10A69EA2-90CE-4029-97F0-1DD9F0D2874A},59500,2007-08-17 00:00,F,N,L,CHATHAM,MEDWAY,MEDWAY,A,A
{DB278E4E-B645-4BC3-8608-3F8D8B818198},227500,2006-08-23 00:00,S,N,F,BROMSGROVE,BROMSGROVE,WORCESTERSHIRE,A,A
{E853A3E7-BE2C-42BB-8A72-773C2EFDF044},97500,2002-03-28 00:00,T,N,F,SUDBURY,BABERGH,SUFFOLK,A,A
{45F7ABD2-A112-4532-9EF4-E3904F1FC9C4},94000,2003-04-01 00:00,T,N,F,SWAFFHAM,BRECKLAND,NORFOLK,A,A
{9FA9CC58-251B-4D26-BFB3-5D5D546051FC},57000,1996-12-04 00:00,D,N,F,BRIXHAM,TORBAY,TORBAY,A,A
{5436A6F6-9790-4DE8-B4EE-10E0724C9632},148500,2011-11-21 00:00,T,N,F,PLYMOUTH,CITY OF PLYMOUTH,CITY OF PLYMOUTH,A,A
{F0373377-764D-49D6-8217-6DF498A0B044},72000,1997-09-19 00:00,D,N,F,HARTLEPOOL,HARTLEPOOL,HARTLEPOOL,A,A
{85511BA1-3535-4FD7-A795-0CC61575959E},207000,2003-06-24 00:00,F,N,L,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL,A,A
{B0E214C8-FE17-4D7D-8F57-2DD4B582B9B6},97000,2005-10-14 00:00,F,N,L,LONDON,LEWISHAM,GREATER LONDON,A,A
{74BEFCC3-1579-4166-86F6-E9E058338036},106000,2007-12-20 00:00,T,N,F,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
